Sample ID	Sample Description (title, isolation source)	Study ID	Predicted EnvoID	Predicted Envo Term	Jaccard Score	Distance	P-value	Best Match	Annotated EnvoID1	Predicted Envo Term1	Annotated EnvoID2	Predicted Envo Term2	Annotated EnvoID3	Predicted Envo Term3
ZebraSTL1.284414	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, grevy's zebra gut	QDB_0626	ID:0000000	animal microbiome	0.104787574284	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
FL.3.47a.2.281755	16S soil survey, spatial and temporal variation across four ecosystems, soil	QDB_0619	ENVO:00000428	biome	0.217766962364	3	0.0342097930214	ENVO:00005806	ENVO:00005806	Tropical and subtropical coniferous forest biome	ENVO:00001998	soil
Okapi1.284411	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, okapi gut	QDB_0626	ID:0000000	animal microbiome	0.116408962801	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
000004435.1078175	AGP Mercola Food, Post-Vortex Water	QDB_2013	ENVO:00002006	water	0.128377827666	2	0.0118310790194	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
S82.141309	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V137, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
MOCK.St.5.995091	The bacterial composition of fecal samples in HIV negative and positive individuals, DNA extracted from fecal samples with Powersoil kit and amplified with barcoded primers. Sequenced at MiSeq at CU Boulder core (Jim Huttley)	QDB_1700	ENVO:00002003	feces	0.0901905413127	3	0.0342097930214	ENVO:00002006	ENVO:00002030	aquatic biome	ENVO:00005791	sterile water	ENVO:00002006	water
MF2.2.733844	Santiam Pass, mountain hemlock, rep 3, soil	QDB_1038	ENVO:00000084	mountain pass	0.252886089161	7	0.549325136652	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
005005OR01.486065	LHMP Indiana, human oral	QDB_1069	ID:0000020	mouth	0.194226415902	3	0.0342097930214	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
ProB78.658358	to study bacterial communities on fresh produce, sample from Sprouts mung bean	QDB_1671	ID:0000032	sprout	0.127153133072	5	0.2001811416	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
E3B10.Bronch1.TipSwab.V1V2.481326	Lung HIV Microbiome Project, human oral	QDB_1020	ID:0000000	animal microbiome	0.193109626594	3	0.0342097930214	ENVO:00009003	ENVO:02000036	saliva	ENVO:00009003	human-associated habitat
P.Dois.Rios.SA.414870	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	3	0.0342097930214	ENVO:00000045	ENVO:00000887	Large river biome	ENVO:00002011	fresh water	ENVO:00000045	estuary
MBP17.660767	Kelley nicu contamination, Swab was taken from NICU baby open bedside plastic exterior2 MB	QDB_0386	ID:0000020	mouth	0.103936475957	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
000004423.1078187	AGP Mercola Food, NV VegSprD3	QDB_2013	ENVO:00002002	food product	0.115225485793	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
TFU500307202.673470	Characterization of the fecal microbiota using high-throughput sequencing reveals a stable microbial community during storage., storage	QDB_1561	ENVO:00002003	feces	0.104632523	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S187.141319	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V75, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
ProC76.658336	to study bacterial communities on fresh produce, sample from Sprouts alfalfa	QDB_1671	ID:0000032	sprout	0.145066638473	5	0.2001811416	ENVO:00000446	ENVO:00000446	terrestrial biome	ENVO:00002222	food shop
Gazelle3.284398	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, speke's gazelle gut	QDB_0626	ID:0000000	animal microbiome	0.104787574284	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
NA.01.T8.830813	Ercolini whole grain feces, Fecal sample taken from individual NA.01	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
Rabbit.284397	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, european rabbit gut	QDB_0626	ID:0000000	animal microbiome	0.11087923633	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
PO1.15.T0.830809	Ercolini whole grain feces, Fecal sample taken from individual PO1.15	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
MSS1.660763	Kelley nicu contamination, Swab was taken from NICU sink handles MB	QDB_0386	ID:0000020	mouth	0.139606065813	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
M10.141280	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V148, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S77.141183	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V132, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M20.533986	Intertidal microbes 16s for 2009 and 2030, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
MPK2.660771	Kelley nicu contamination, Swab was taken from NICU Pyxus Med machine keyboard MB	QDB_0386	ID:0000020	mouth	0.106696170399	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
S2.141197	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V79, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
BaboonW.284407	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, hamadryas baboon gut	QDB_0626	ID:0000000	animal microbiome	0.104270895953	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S120.141199	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V23, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
000004441.1078178	AGP Mercola Food, Spinach	QDB_2013	ENVO:02000050	spinach	0.258887004133	7	0.549325136652	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
PO4.9.T0.830860	Ercolini whole grain feces, Fecal sample taken from individual PO4.9	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
NR071A.994661	The Human Nasal Microbiota and Staphylococcus aureus Carriage, human nasopharyngeal	QDB_1967	ID:0000058	skin	0.0804465908098	1	0.00206932100159	ENVO:00009003	ENVO:02000040	mucus	ENVO:00009003	human-associated habitat
blankHS2.735882	Home Life: Factors structuring the bacterial diversity found within and between homes, indoor	QDB_1772			0	17	1.0	ENVO:00002006	ENVO:00002030	aquatic biome	ENVO:00005791	sterile water	ENVO:00002006	water
NA.12.T8.830845	Ercolini whole grain feces, Fecal sample taken from individual NA.12	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S144.141300	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V38, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
P.Abraao.HA.488590	Rio de aneiro Coastline, marine	QDB_1039	ENVO:00000303	coast	0.232880634976	2	0.0118310790194	ENVO:00000138	ENVO:00000447	marine biome	ENVO:00000138	cove	ENVO:00002007	sediment
HR2.733843	Deercreek, Douglas-fir, rep 2, soil	QDB_1038	ENVO:00001998	soil	0.182069474025	0	0.000604878446618	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002992	Temperate needle-leaf forests or woodlands
NA.10.T0.830829	Ercolini whole grain feces, Fecal sample taken from individual NA.10	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
S36.141298	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V96, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S17.141229	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V61, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
E2B07PreWash1.481212	Lung HIV Microbiome Project, freshwater	QDB_1020	ID:0000000	animal microbiome	0.203968921366	3	0.0342097930214	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:00005791	sterile water
SE.20101001.GY.LBNL1.BC.120.415281	Gulf Oil Spill Sediment, marine sediment	QDB_1046	ENVO:00002113	marine sediment	0.402131297673	0	0.000604878446618	ENVO:00002113	ENVO:00000447	marine biome	ENVO:00000426	ocean floor	ENVO:00002113	marine sediment
S20.141297	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V80, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M14Fotl.140639	Bacterial Community Variation in Human Body Habitats Across Space and Time, left sole of foot	QDB_0449	ENVO:00002036	habitat	0.114056463894	4	0.0908687678472	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
UIR24.660760	Kelley nicu contamination, Swab was taken from NICU incubator drawer handle beneath incubator UCSD	QDB_0386	ID:0000020	mouth	0.113602133205	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
X10.mar09.823534	Comparison of groundwater samples from karst sinkholes (cenotes) from the Yucatan Peninsula, Mexico, groundwater	QDB_0861	ENVO:00000195	sinkhole	0.128705580742	0	0.000604878446618	ENVO:00000195	ENVO:00000195	sinkhole	ENVO:00002011	fresh water	ENVO:00000873	freshwater biome
Hopland.14C.Wood.TP1.04.590996	LDRD Biological Carbon Sequestration, soil	QDB_1043	ENVO:00001998	soil	0.162484296953	0	0.000604878446618	ENVO:00001998	ENVO:00005750	grassland soil	ENVO:00000877	Temperate grasslands, savannas, and shrubland biome	ENVO:00001998	soil
000004436.1078173	AGP Mercola Food, Red Pepper	QDB_2013	ENVO:00002002	food product	0.131665311547	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
Preantibiotic.9.67.984461	Preantibiotic Sample, Treatment 9, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
S97.141156	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V146, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
413.141610	Succession of microbial consortia in the developing infant gut microbiome, human gut	QDB_0101	ID:0000000	animal microbiome	0.147967287928	3	0.0342097930214	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
Antibioticday1.3.71.984456	Antibioticday1 Sample, Treatment 3, mouse gut	QDB_1958	ID:0000002	gut	0.206019550815	1	0.00206932100159	ENVO:00002003	ENVO:00009002	mammalia-associated habitat	ENVO:00002003	feces
S123.141163	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V26, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S30.141285	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V90, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S172.141184	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V64, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
S190.141237	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V78, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
M21.533958	Intertidal microbes 16s for 2009 and 2031, marine	QDB_0662	ENVO:00000090	coastal plain	0.29368354108	3	0.0342097930214	ENVO:00000317	ENVO:00000447	marine biome	ENVO:00000317	tidal pool	ENVO:00002034	biofilm
WT.2.478221	Comparison of T5KO and wildtype mice, mouse gut microbiome	QDB_0460	ID:0000000	animal microbiome	0.149733558038	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
S113.141302	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V16, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
Temperate.rain.forest.686749	Canadian MetaMicroBiome Initiative, soil	QDB_0632	ENVO:00001998	soil	0.214151133246	0	0.000604878446618	ENVO:00001998	ENVO:00002261	forest soil	ENVO:00001998	soil	ENVO:00002991	Subtropical and temperate rainforests or woodlands
S89.141281	The influence of sex handedness and washing on the diversity of hand surface bacteriaS1 V142, fierer undergraduate palms	QDB_0317	ID:0000023	hand	0.0881810605986	3	0.0342097930214	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
MWR15.660764	Kelley nicu contamination, Swab was taken from NICU traveling weigh cart drawer handles1 MB	QDB_0386	ID:0000020	mouth	0.101664047581	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
Giraffe2.284394	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, reticulated giraffe gut	QDB_0626	ID:0000000	animal microbiome	0.105617061705	1	0.00206932100159	ENVO:00006776	ENVO:00002003	feces	ENVO:00006776	animal-associated habitat
M31Ewxl.140375	Bacterial Community Variation in Human Body Habitats Across Space and Time, left outer ear canal/earwax	QDB_0449	ENVO:00002036	habitat	0.0990654123297	4	0.0908687678472	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:02000028	ear wax
MIK12.660773	Kelley nicu contamination, Swab was taken from NICU incubator computer keyboard MB	QDB_0386	ID:0000020	mouth	0.121880677036	4	0.0908687678472	ENVO:00002031	ENVO:00002031	anthropogenic habitat	ENVO:00010504	surface
000004478.1078103	AGP Mercola Food, Asparagus	QDB_2013	ENVO:00002002	food product	0.144729982694	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
PO1.5.T8.830839	Ercolini whole grain feces, Fecal sample taken from individual PO1.5	QDB_1481	ENVO:00002003	feces	0.334502992577	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
F11Aptl.140780	Bacterial Community Variation in Human Body Habitats Across Space and Time, left armpit	QDB_0449	ENVO:00002036	habitat	0.122704256692	4	0.0908687678472	ENVO:00009003	ENVO:00009003	human-associated habitat	ENVO:02000025	sweat
Bows.Leftpalm.983861	Personal Genome Project, human skin	QDB_1189	ID:0000058	skin	0.369186489906	1	0.00206932100159	ENVO:00009003	ENVO:02000037	sebum	ENVO:00009003	human-associated habitat
5.13.12.rk.st.0100.1123137	Knight ABTX r4 comp, feces	QDB_2045	ENVO:00002003	feces	0.26824994815	0	0.000604878446618	ENVO:00002003	ENVO:00002003	feces	ENVO:00009003	human-associated habitat
fecal.T0.U5.1082002	PacBio sequencing of eukaryotic communities during decomposition, mouse gut	QDB_1997	ID:0000002	gut	0.141271920429	1	0.00206932100159	ENVO:00002003	ENVO:00000446	terrestrial biome	ENVO:00002003	feces	ENVO:00009002	mammalia-associated habitat
000004463.1078158	AGP Mercola Food, V FerSprD3	QDB_2013	ENVO:00002002	food product	0.143075785817	3	0.0342097930214	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
56.CA.RightFrontPaw.663898	Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms, organismal	QDB_1684	ENVO:01000007	microbial feature	0.114138584463	4	0.0908687678472	ENVO:00006776	ENVO:02000037	sebum	ENVO:00006776	animal-associated habitat
I.Fundao.SB.414872	Rio de aneiro Coastline, marine sediment	QDB_1039	ENVO:00002113	marine sediment	0.298914463529	3	0.0342097930214	ENVO:00002006	ENVO:00000447	marine biome	ENVO:00000138	cove	ENVO:00002006	water
000004469.1078155	AGP Mercola Food, Celery Juice	QDB_2013	ENVO:00000337	orange juice	0.157091177149	7	0.549325136652	ENVO:00001998	ENVO:00002031	anthropogenic habitat	ENVO:00001998	soil	ENVO:00000077	agricultural feature
